time,target_x_deg,target_y_deg,gimbal_pitch_rad,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,angular_x,angular_y,angular_z,vel_x,vel_y,vel_z
1769096195.509240,,,,,,,,,,,,,,,,
1769096195.509391,0.213886738,1.87551403,,,,,,,,,,,,,,
1769096195.513479,,,-0.15727964,,,,,,,,,,,,,
1769096195.521235,,,,0.120258294,-0.25780803,-0.015666625,0.958554983,55.85200501,67.77100372,40.99257278,-0.071349122,-0.114473723,-0.084544525,-7.217801094,-3.211708307,-8.226783752
1769096195.527564,,,-0.153996453,,,,,,,,,,,,,
1769096195.528160,0.213886738,1.87551403,,,,,,,,,,,,,,
1769096195.535147,,,,,,,,,,,,,,,,
1769096195.535533,,,,0.12106432,-0.257327318,-0.01589535,0.958578885,55.71739197,67.71115112,40.83909607,-0.062958561,-0.12988916,-0.117980652,-7.249520779,-3.225711107,-8.282207489
1769096195.546509,,,-0.153996453,,,,,,,,,,,,,
1769096195.548596,,,,,,,,,,,,,,,,
1769096195.548738,0.370765924,1.818689585,,,,,,,,,,,,,,
1769096195.553989,,,,0.121913217,-0.25518176,-0.017853083,0.959010363,55.56019592,67.64106751,40.65951538,-0.014155976,-0.154826283,-0.124921329,-7.281315804,-3.263462305,-8.328576088
1769096195.561725,,,-0.149068773,,,,,,,,,,,,,
1769096195.568155,0.370765924,1.818689585,,,,,,,,,,,,,,
1769096195.571172,,,,0.123107694,-0.254361123,-0.018125681,0.959070563,55.42414093,67.561203,40.20674515,0.003533772,-0.132016644,-0.117970556,-7.256005287,-3.291156292,-8.304106712
1769096195.577295,,,-0.1474251,,,,,,,,,,,,,
1769096195.580615,,,,,,,,,,,,,,,,
1769096195.586033,,,,0.124319017,-0.252710849,-0.018809615,0.959337473,55.42414093,67.561203,40.20674515,0.019241765,-0.121729389,-0.11378929,-7.256005287,-3.291156292,-8.304106712
1769096195.588930,,,,,,,,,,,,,,,,
1769096195.589363,0.442068666,1.733453751,,,,,,,,,,,,,,
1769096195.594543,,,-0.144138604,,,,,,,,,,,,,
1769096195.603782,,,,0.125311062,-0.251837313,-0.018861696,0.959437072,55.28919983,67.50018311,40.05271912,0.047755904,-0.135984272,-0.088473804,-7.296236992,-3.315062761,-8.338798523
1769096195.605752,,,,,,,,,,,,,,,,
1769096195.609531,0.442068666,1.733453751,,,,,,,,,,,,,,
1769096195.610015,,,,,,,,,,,,,,,,
1769096195.612878,,,-0.14084959,,,,,,,,,,,,,
1769096195.619202,,,,0.126187921,-0.250516832,-0.018848067,0.959667981,55.13269424,67.4289856,39.87384796,0.059898362,-0.148499444,-0.086559124,-7.349572182,-3.339608669,-8.367733955
1769096195.627112,,,-0.139205098,,,,,,,,,,,,,
1769096195.628876,,,,,,,,,,,,,,,,
1769096195.629016,0.556199193,1.98920393,,,,,,,,,,,,,,
1769096195.634657,,,,,,,,,,,,,,,,
1769096195.634967,,,,0.126875058,-0.248826236,-0.018846391,0.960017264,54.973732,67.35689545,39.69359207,0.02729968,-0.157924935,-0.103404753,-7.413504124,-3.352471828,-8.377626419
1769096195.643852,,,-0.134269923,,,,,,,,,,,,,
1769096195.648204,,,,,,,,,,,,,,,,
1769096195.648447,0.812867105,1.747720122,,,,,,,,,,,,,,
1769096195.660793,,,,0.127933457,-0.247336939,-0.018903773,0.960260451,54.8333168,67.2936554,39.5359726,-0.003469281,-0.133230358,-0.106101908,-7.477412701,-3.359789133,-8.374545097
1769096195.668223,0.812867105,1.747720122,,,,,,,,,,,,,,
1769096195.670966,,,-0.130977586,,,,,,,,,,,,,
1769096195.673597,,,,0.129055113,-0.246134222,-0.019271238,0.960412085,54.8333168,67.2936554,39.5359726,0.009952864,-0.180173934,-0.06968078,-7.477412701,-3.359789133,-8.374545097
1769096195.677855,,,-0.129331425,,,,,,,,,,,,,
1769096195.683437,,,,,,,,,,,,,,,,
1769096195.686721,,,,0.129504874,-0.245144784,-0.01947267,0.960600555,54.66896057,67.22058868,39.35387421,-0.012495484,-0.192738548,-0.053731602,-7.604363918,-3.355445623,-8.33769989
1769096195.689123,,,,,,,,,,,,,,,,
1769096195.689320,1.069512844,1.563071489,,,,,,,,,,,,,,
1769096195.696444,,,-0.126037434,,,,,,,,,,,,,
1769096195.703184,,,,0.130317628,-0.243450373,-0.019870736,0.960913301,54.50373459,67.14763641,39.17362976,-0.01296004,-0.210287005,-0.067366138,-7.679210663,-3.38694191,-8.327457428
1769096195.707964,1.069512844,1.563071489,,,,,,,,,,,,,,
1769096195.714225,,,,,,,,,,,,,,,,
1769096195.717929,,,,,,,,,,,,,,,,
1769096195.726246,,,-0.122743428,,,,,,,,,,,,,
1769096195.727154,,,,0.131113708,-0.241741508,-0.020164359,0.961230338,54.35974121,67.08416748,39.02462769,0.022360342,-0.209952295,-0.07020577,-7.747946262,-3.423569918,-8.296814919
1769096195.730390,,,,,,,,,,,,,,,,
1769096195.730551,1.254798412,1.193673253,,,,,,,,,,,,,,
1769096195.732070,,,-0.117799103,,,,,,,,,,,,,
1769096195.735936,,,,0.131707191,-0.239641562,-0.020563008,0.961666524,54.18877029,67.00822449,38.84319687,0.061716471,-0.218108833,0.009129551,-7.838021755,-3.468262672,-8.24668026
1769096195.745519,,,-0.114500947,,,,,,,,,,,,,
1769096195.748487,1.254798412,1.193673253,,,,,,,,,,,,,,
1769096195.748492,,,,,,,,,,,,,,,,
1769096195.758850,,,,0.132334694,-0.237873361,-0.020694535,0.962016463,54.18877029,67.00822449,38.84319687,0.056106698,-0.181133091,-0.095409438,-7.838021755,-3.468262672,-8.24668026
1769096195.761728,,,-0.111201957,,,,,,,,,,,,,
1769096195.767921,,,,,,,,,,,,,,,,
1769096195.768151,1.539989233,1.250598669,,,,,,,,,,,,,,
1769096195.771311,,,,,,,,,,,,,,,,
1769096195.780739,,,,0.133510605,-0.236606449,-0.020552607,0.962169349,54.03860855,66.94208527,38.68600082,-0.014340375,-0.100609168,-0.015862826,-7.911083221,-3.468008041,-8.246448517
1769096195.782773,,,-0.107902132,,,,,,,,,,,,,
1769096195.789418,,,,0.133707374,-0.235548913,-0.02054134,0.962401807,53.89395523,66.86342621,38.31325913,0.000001753,-0.047219131,-0.012189801,-7.91054678,-3.459577322,-8.3963871
1769096195.790196,,,,,,,,,,,,,,,,
1769096195.790353,1.711026311,1.009047985,,,,,,,,,,,,,,
1769096195.797992,,,-0.106251806,,,,,,,,,,,,,
1769096195.803174,,,,0.13395828,-0.234311491,-0.020861069,0.962662041,53.72220612,66.78842163,38.11992264,-0.012949907,-0.029784065,0.011035323,-8.00229454,-3.485080242,-8.367280006
1769096195.807761,1.711026311,1.009047985,,,,,,,,,,,,,,
1769096195.817775,,,-0.102949485,,,,,,,,,,,,,
1769096195.818900,,,,,,,,,,,,,,,,
1769096195.819969,,,,0.133976027,-0.233881757,-0.020985428,0.962761343,53.57314301,66.72357178,37.96486664,-0.028121356,-0.012285735,0.026003795,-8.072787285,-3.511151075,-8.324370384
1769096195.826222,,,,,,,,,,,,,,,,
1769096195.828569,,,,,,,,,,,,,,,,
1769096195.828697,1.839323521,0.909590781,,,,,,,,,,,,,,
1769096195.828834,,,-0.101298325,,,,,,,,,,,,,
1769096195.836051,,,,0.134085998,-0.23358272,-0.021278027,0.962812245,53.57314301,66.72357178,37.96486664,0.013283058,-0.028353129,0.032013156,-8.072787285,-3.511151075,-8.324370384
1769096195.847865,1.839323521,0.909590781,,,,,,,,,,,,,,
1769096195.848708,,,-0.09964633,,,,,,,,,,,,,
1769096195.853504,,,,0.134250581,-0.232993737,-0.020982686,0.962938428,53.39725113,66.64703369,37.784935,0.002235205,-0.065951847,0.036562726,-8.154356956,-3.542337418,-8.258182526
1769096195.858202,,,,,,,,,,,,,,,,
1769096195.863297,,,-0.09964633,,,,,,,,,,,,,
1769096195.868448,,,,,,,,,,,,,,,,
1769096195.868666,1.867840171,0.895385027,,,,,,,,,,,,,,
1769096195.870697,,,,0.134331495,-0.232580528,-0.020950669,0.963027716,53.21834564,66.56938934,37.58885574,0.020316344,-0.085397482,0.033295281,-8.241174698,-3.565201998,-8.167879105
1769096195.878966,,,-0.097994342,,,,,,,,,,,,,
1769096195.887818,1.867840171,0.895385027,,,,,,,,,,,,,,
